Title,Author,Year,Type of Prize,url
their development and use of molecules with structure-specific interactions of high selectivity,"['Donald J. Cram', 'Jean-Marie Lehn', 'Charles J. Pedersen']",1987		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1987/summary/
his discovery of the genetic principle for generation of antibody diversity,['Susumu Tonegawa'],1987		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1987/summary/
"an all-embracing authorship, imbued with clarity of thought and poetic intensity",['Joseph Brodsky'],1987		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1987/summary/
his work for lasting peace in Central America,['Oscar Arias Sánchez'],1987		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1987/summary/
his contributions to the theory of economic growth,['Robert M. Solow'],1987		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1987/summary/
their design of the scanning tunneling microscope,['Ernst Ruska'],1986		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1986/summary/
their contributions concerning the dynamics of chemical elementary processes,"['Dudley R. Herschbach', 'Yuan T. Lee', 'John C. Polanyi']",1986		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1986/summary/
their discoveries of growth factors,"['Stanley Cohen', 'Rita Levi-Montalcini']",1986		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/1986/summary/
who in a wide cultural perspective and with poetic overtones fashions the drama of existence,['Wole Soyinka'],1986		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/1986/summary/
"being a messenger to mankind: his message is one of peace, atonement and dignity",['Elie Wiesel'],1986		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/1986/summary/
his development of the contractual and constitutional bases for the theory of economic and political decision-making,['James M. Buchanan Jr.'],1986		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/1986/summary/
the discovery of the quantized Hall effect,['Klaus von Klitzing'],1985		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/1985/summary/
their outstanding achievements in the development of direct methods for the determination of crystal structures,"['Herbert A. Hauptman', 'Jerome Karle']",1985		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/1985/summary/
